OBJECTID;stop_id;stop_code;stop_name;stop_desc;E1 Υπάρχει Στέγαστρο?;E2 Υπάρχει κάθισμα?;Ε3 Ορατότητα;Ε4 Εξοχή πεζοδρομίου;Ε5 Τηλεματική;Ε6 Καθαριότητα;Σταθμός ΜΕΤΡΟ
1011;420149;420149;ΚΟΛΟΚΥΝΘΟΥΣ;Επί της ΛΕΩΦ.ΚΗΦΙΣΟΥ;Ναι, καλή κατάσταση;Ναι, καλή κατάσταση;Καλή;Όχι;Όχι;Καλή;
1012;420164;420164;ΣΤ.ΥΠΕΡΑΣΤΙΚΩΝ;Επί της ΛΕΩΦ.ΚΗΦΙΣΟΥ;Ναι, καλή κατάσταση;Ναι, καλή κατάσταση;Καλή;Όχι;Όχι;Κακή;
1013;420165;420165;ΓΕΦ. ΛΕΩΦ.ΚΑΒΑΛΑΣ;Επί της ΛΕΩΦ.ΚΗΦΙΣΟΥ;Όχι;Όχι;Καλή;Όχι;Όχι;Κακή;
1014;420168;420168;ΓΙΩΤΗΣ;Επί της ΛΕΩΦ.ΚΗΦΙΣΟΥ;Ναι, κακή κατάσταση;Ναι, κακή κατάσταση (π.χ. είναι σπασμένο, έχει πρόχειρα γκράφιτι, είναι σκουριασμένο);Καλή;Όχι;Όχι;Κακή;
1015;450029;450029;ΑΣΤΥ;Επί της Π.ΡΑΛΛΗ;Ναι, καλή κατάσταση;Ναι, καλή κατάσταση;Καλή;Όχι;Ναι;Κακή;
1016;450031;450031;ΡΟΥΦ;Επί της Π.ΡΑΛΛΗ;Ναι, κακή κατάσταση;Ναι, κακή κατάσταση (π.χ. είναι σπασμένο, έχει πρόχειρα γκράφιτι, είναι σκουριασμένο);Καλή;Όχι;Όχι;Κακή;
1017;460001;460001;ΕΙΚΟΝΟΣΤΑΣΙ;Επί της ΗΠΕΙΡΟΥ;Όχι;Όχι;Κακή;Όχι;Όχι;Κακή;
1018;460013;460013;ΕΙΚΟΝΟΣΤΑΣΙ;Επί της ΛΕΩΦ.ΧΡ.ΣΜΥΡΝΗΣ;Όχι;Όχι;Κακή;Όχι;Όχι;Κακή;
1019;60035;;;;Ναι, καλή κατάσταση;Ναι, καλή κατάσταση;Καλή;Όχι;Ναι;Μέτρια;
1020;60058;;;;Ναι, καλή κατάσταση;Ναι, καλή κατάσταση;Καλή;Όχι;Ναι;Καλή;
